Date,Banking_Industry_Index
2025-04-01,51007.44077654897
2025-05-01,49657.40128072663
2025-06-01,51480.23686338257
2025-07-01,51482.60706857997
2025-08-01,50499.71674960835
2025-09-01,51016.69677975907
2025-10-01,49435.4003431288
2025-11-01,48978.4685755278
2025-12-01,49575.40077634827
2026-01-01,50025.44361763261
2026-02-01,51995.93662164136
2026-03-01,51583.53857876078
2026-04-01,49144.62726121604
2026-05-01,47170.12327940409
2026-06-01,48974.28085473694
2026-07-01,48991.29080978548
2026-08-01,48000.880190468364
2026-09-01,48541.314200110566
2026-10-01,46978.36511107978
2026-11-01,46487.95001441577
2026-12-01,47075.4407059082
2027-01-01,47490.20910752072
2027-02-01,49502.09743103991
2027-03-01,49141.146442335266
2027-04-01,46662.70107673382
2027-05-01,44683.16742113895
2027-06-01,46467.87969518065
2027-07-01,46499.940121316904
2027-08-01,45502.724714566124
2027-09-01,46066.144771764746
2027-10-01,44521.277955060374
2027-11-01,43996.922495949155
2027-12-01,44574.86965351739
2028-01-01,44955.50633545681
2028-02-01,47008.95183478357
2028-03-01,46509.14313851581
2028-04-01,44148.827325502745
2028-05-01,42186.95077529252
